tamarisk_inst_mdp__5,6,6,430912,1560.8765995897431,39,-1233.852307692308,original-tamarisk_inst_mdp__5=/127.0.0.1;original-tamarisk_inst_mdp__5=/127.0.0.1;original-tamarisk_inst_mdp__5=/127.0.0.1;original-tamarisk_inst_mdp__5=/127.0.0.1;original-tamarisk_inst_mdp__5=/127.0.0.1;original-tamarisk_inst_mdp__5=/127.0.0.1;,-911.3599999999999,82.43038590420157,6794.7685203155925,-911.3599999999999,-1173.3000000000002,-1283.15,-1294.93,-1280.8600000000001,-1282.2600000000002,-1200.95,-1301.7400000000002,-1026.1699999999998,-1249.8100000000004,-1311.18,-1221.3000000000002,-1361.2500000000002,-1307.7100000000003,-1307.4300000000003,-1174.6200000000001,-1246.15,-1283.65,-1275.0600000000002,-1175.5,-1305.45,-1234.0800000000004,-1183.2900000000002,-1131.86,-1212.28,-1158.13,-1207.72,-1246.1200000000001,-1281.1400000000003,-1260.2800000000002,-1269.35,-1179.6000000000001,-1314.3600000000001,-1262.6699999999998,-1262.98,-1310.8900000000006,-1257.1100000000001,-1217.4999999999998,-1157.0500000000002,
traffic_inst_mdp__01,6,6,373378,1366.642081641026,39,-9.128205128205128,original-traffic_inst_mdp__01=/127.0.0.1;original-traffic_inst_mdp__01=/127.0.0.1;original-traffic_inst_mdp__01=/127.0.0.1;original-traffic_inst_mdp__01=/127.0.0.1;original-traffic_inst_mdp__01=/127.0.0.1;original-traffic_inst_mdp__01=/127.0.0.1;,-1.0,5.38363849502378,28.983563445101908,-8.0,-16.0,-27.0,-12.0,-15.0,-8.0,-6.0,-5.0,-8.0,-8.0,-17.0,-11.0,-8.0,-3.0,-23.0,-12.0,-11.0,-11.0,-11.0,-8.0,-6.0,-14.0,-3.0,-8.0,-9.0,-12.0,-5.0,-7.0,-12.0,-8.0,-2.0,-4.0,-5.0,-11.0,-1.0,-1.0,-7.0,-9.0,-4.0,
traffic_inst_mdp__02,6,6,373167,1389.0616276923076,39,-29.76923076923077,original-traffic_inst_mdp__02=/127.0.0.1;original-traffic_inst_mdp__02=/127.0.0.1;original-traffic_inst_mdp__02=/127.0.0.1;original-traffic_inst_mdp__02=/127.0.0.1;original-traffic_inst_mdp__02=/127.0.0.1;original-traffic_inst_mdp__02=/127.0.0.1;,-12.0,9.65152183685342,93.1518737672584,-48.0,-29.0,-32.0,-21.0,-29.0,-29.0,-34.0,-34.0,-15.0,-33.0,-18.0,-18.0,-15.0,-17.0,-28.0,-45.0,-34.0,-39.0,-35.0,-33.0,-12.0,-52.0,-27.0,-34.0,-26.0,-33.0,-41.0,-27.0,-19.0,-39.0,-41.0,-32.0,-19.0,-22.0,-19.0,-31.0,-31.0,-24.0,-46.0,
traffic_inst_mdp__03,6,6,387769,1721.8368461538466,39,-46.333333333333336,original-traffic_inst_mdp__03=/127.0.0.1;original-traffic_inst_mdp__03=/127.0.0.1;original-traffic_inst_mdp__03=/127.0.0.1;original-traffic_inst_mdp__03=/127.0.0.1;original-traffic_inst_mdp__03=/127.0.0.1;original-traffic_inst_mdp__03=/127.0.0.1;,-11.0,22.265683994898602,495.7606837606837,-35.0,-76.0,-56.0,-52.0,-36.0,-66.0,-11.0,-38.0,-23.0,-38.0,-25.0,-22.0,-55.0,-101.0,-30.0,-20.0,-36.0,-71.0,-109.0,-43.0,-43.0,-44.0,-20.0,-61.0,-46.0,-30.0,-39.0,-50.0,-36.0,-44.0,-36.0,-92.0,-26.0,-67.0,-37.0,-65.0,-34.0,-24.0,-70.0,
traffic_inst_mdp__04,6,6,386476,2173.3860369230774,39,-103.56410256410257,original-traffic_inst_mdp__04=/127.0.0.1;original-traffic_inst_mdp__04=/127.0.0.1;original-traffic_inst_mdp__04=/127.0.0.1;original-traffic_inst_mdp__04=/127.0.0.1;original-traffic_inst_mdp__04=/127.0.0.1;original-traffic_inst_mdp__04=/127.0.0.1;,-61.0,25.81372609608771,666.3484549638396,-108.0,-62.0,-98.0,-66.0,-134.0,-106.0,-64.0,-137.0,-86.0,-61.0,-87.0,-95.0,-64.0,-103.0,-90.0,-140.0,-88.0,-121.0,-106.0,-78.0,-107.0,-152.0,-128.0,-128.0,-142.0,-107.0,-79.0,-77.0,-114.0,-123.0,-85.0,-112.0,-91.0,-116.0,-86.0,-166.0,-93.0,-115.0,-124.0,
traffic_inst_mdp__05,6,6,409249,2045.0927606153848,39,-98.82051282051282,original-traffic_inst_mdp__05=/127.0.0.1;original-traffic_inst_mdp__05=/127.0.0.1;original-traffic_inst_mdp__05=/127.0.0.1;original-traffic_inst_mdp__05=/127.0.0.1;original-traffic_inst_mdp__05=/127.0.0.1;original-traffic_inst_mdp__05=/127.0.0.1;,-38.0,29.19156164941997,852.1472715318869,-73.0,-73.0,-75.0,-144.0,-86.0,-84.0,-99.0,-73.0,-114.0,-38.0,-58.0,-67.0,-68.0,-104.0,-132.0,-127.0,-84.0,-135.0,-81.0,-81.0,-131.0,-96.0,-156.0,-76.0,-83.0,-101.0,-126.0,-133.0,-67.0,-85.0,-162.0,-125.0,-102.0,-71.0,-126.0,-119.0,-73.0,-132.0,-94.0,
traffic_inst_mdp__06,6,6,408752,1844.4086750769231,39,-136.0,original-traffic_inst_mdp__06=/127.0.0.1;original-traffic_inst_mdp__06=/127.0.0.1;original-traffic_inst_mdp__06=/127.0.0.1;original-traffic_inst_mdp__06=/127.0.0.1;original-traffic_inst_mdp__06=/127.0.0.1;original-traffic_inst_mdp__06=/127.0.0.1;,-75.0,34.960050460563245,1222.2051282051282,-150.0,-142.0,-75.0,-177.0,-174.0,-84.0,-124.0,-117.0,-95.0,-172.0,-111.0,-208.0,-163.0,-102.0,-166.0,-163.0,-127.0,-189.0,-106.0,-130.0,-169.0,-147.0,-96.0,-89.0,-136.0,-129.0,-122.0,-128.0,-139.0,-199.0,-126.0,-101.0,-110.0,-108.0,-102.0,-182.0,-127.0,-208.0,-111.0,
academic-advising_inst_mdp__01,6,6,205716,2517.578868307692,39,-94.74358974358974,original-academic-advising_inst_mdp__01=/127.0.0.1;original-academic-advising_inst_mdp__01=/127.0.0.1;original-academic-advising_inst_mdp__01=/127.0.0.1;original-academic-advising_inst_mdp__01=/127.0.0.1;original-academic-advising_inst_mdp__01=/127.0.0.1;original-academic-advising_inst_mdp__01=/127.0.0.1;,-60.0,9.93238151192131,98.65220249835625,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-90.0,-100.0,-100.0,-60.0,-100.0,-100.0,-75.0,-100.0,-85.0,-100.0,-100.0,-80.0,-100.0,-100.0,-90.0,-100.0,-100.0,-100.0,-95.0,-70.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-75.0,-85.0,-100.0,-100.0,-100.0,-100.0,
academic-advising_inst_mdp__02,6,6,206053,1290.4573778461538,39,-74.61538461538461,original-academic-advising_inst_mdp__02=/127.0.0.1;original-academic-advising_inst_mdp__02=/127.0.0.1;original-academic-advising_inst_mdp__02=/127.0.0.1;original-academic-advising_inst_mdp__02=/127.0.0.1;original-academic-advising_inst_mdp__02=/127.0.0.1;original-academic-advising_inst_mdp__02=/127.0.0.1;,-35.0,17.260619747936058,297.9289940828402,-45.0,-70.0,-35.0,-50.0,-70.0,-70.0,-50.0,-80.0,-65.0,-90.0,-100.0,-75.0,-55.0,-65.0,-95.0,-100.0,-65.0,-100.0,-60.0,-100.0,-65.0,-85.0,-65.0,-70.0,-90.0,-100.0,-90.0,-75.0,-85.0,-95.0,-60.0,-80.0,-70.0,-60.0,-60.0,-60.0,-70.0,-90.0,-100.0,
academic-advising_inst_mdp__03,6,6,206683,1307.3892242051284,39,-99.23076923076923,original-academic-advising_inst_mdp__03=/127.0.0.1;original-academic-advising_inst_mdp__03=/127.0.0.1;original-academic-advising_inst_mdp__03=/127.0.0.1;original-academic-advising_inst_mdp__03=/127.0.0.1;original-academic-advising_inst_mdp__03=/127.0.0.1;original-academic-advising_inst_mdp__03=/127.0.0.1;,-75.0,4.009357890028688,16.074950690335292,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-95.0,-100.0,-100.0,-100.0,-100.0,-75.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,-100.0,
